SEGMENT1,VENDOR_NAME,COUNTRY,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,FIRST_NAME,PHONE,FAX,PAY_GROUP_LOOKUP_CODE,PAYMENT_TYPE,TERMS_NAME
105,SRI LANKA STATE TRADING,Sri Lanka,"""E-PIYASA' 525, UNION PLACE",COLOMBO 2,,,0112422341-3,,ENGINEERING,CHECK,30 Net
106,Suntec Engineering,Sri Lanka,"#54,1st temple Mawatha,Off templers Rd,","""Lady Lavinia"",Mt lavinia",,,112731713,,ENGINEERING,CHECK,30 Net
107,S.M.Riyas,Sri Lanka,"112E 1/1, Abesekara Road",Mt Lavenia,,,,,ENGINEERING,CHECK,30 Net
108,Metropolitan Office (pvt) ltd,Sri Lanka,"12,Magazine Rd,Cl  8",,,,011-2691467,,ENGINEERING,CHECK,30 Net
110,Ewis Peripherals (Pvt.) Ltd.,Sri Lanka,"142,Yathma building,","Galle Road,Colombo 03",-,,117496000,,ENGINEERING,CHECK,30 Net
111,Logiventures (Pvt.) Ltd.,Sri Lanka,"148/B,Nawalokapura,Sedawatte,",Wellampitiya,-,,112572010,,ENGINEERING,CHECK,30 Net
112,Easy Car Parks (pvt) Ltd,Sri Lanka,1st Floor,Deanstone House,1-1/1 Deanstone place,,011-2575606,,ENGINEERING,CHECK,30 Net
113,Due Poly Bags,Sri Lanka,"1st Lane,Aberathne  Mawatha",Boralasgamuwa,,,,,ENGINEERING,CHECK,30 Net
114,UPALI NEWSPAPERS (PVT) LTD,Sri Lanka,"223,Bolemendhal Rd,Colombo 13",,,,0112497500,,ENGINEERING,CHECK,30 Net
115,Talent Printers,Sri Lanka,"28,Super market,new galle road,",Moratuwa,-,,0777-720663,,ENGINEERING,CHECK,30 Net
116,silver kris international,Sri Lanka,"293/3,k.b.christe pereramawath",colombo 13,,,2447793,,ENGINEERING,CHECK,30 Net
117,Vasantham TV,Sri Lanka,"325,Bauddhaloka Mawatha,",Colombo 07,,,011-2699072,,ENGINEERING,CHECK,30 Net
118,J.P. Chaminda,Sri Lanka,"34/11B , Pansala Rd",Pandigama,Piliyandala,,,,ENGINEERING,CHECK,30 Net
119,Wijaya Newspapers Ltd.,Sri Lanka,"36,Hyde park corner,colombo 2",,,,0,,ENGINEERING,CHECK,30 Net
120,S.B. Printers (pvt) ltd,Sri Lanka,"441/3, Colombo Rd",Negambo,,,031-2222069,,ENGINEERING,CHECK,30 Net
121,S.B.Printers,Sri Lanka,"441/3,Colombo rd,Negambo",,,,312222069,,ENGINEERING,CHECK,30 Net
122,DMK Transport (pvt)Ltd,Sri Lanka,467/2/6,Daluitiya Rd,Hunupitiya,,,,ENGINEERING,CHECK,30 Net
123,Retail Information Technologie,Sri Lanka,"491,Galle Road",Colombo 03,info@retailit.lk,,0714331143,,ENGINEERING,CHECK,30 Net
124,Abans PLC,Sri Lanka,"498,Galle Rd,Colombo 03",,,,112565265,,ENGINEERING,CHECK,30 Net
125,Abans Electricals plc,Sri Lanka,"506b, galle road colombo 6",,,,0114357100,,ENGINEERING,CHECK,30 Net
126,perfect business solution,Sri Lanka,"63/2/1, park sreet, colombo 2",,,,5555970,,ENGINEERING,CHECK,30 Net
127,Stafford Motor Co. (Pvt) Ltd,Sri Lanka,"718/7,Maradana Rd,Colombo 10",-,-,,117607200,,ENGINEERING,CHECK,30 Net
128,Softwatch Infosys Pvt Ltd,Sri Lanka,"8/2,Rheinland Place,Galle Road",Colombo 03,,,0115235011,,ENGINEERING,CHECK,30 Net
129,Ceylon Pest Control Co (Pvt),Sri Lanka,"805/3,Negombo Rd,Mabole,Wattal",,,,01125336633,,ENGINEERING,CHECK,30 Net
130,S.K.Aluminium,Sri Lanka,"Atulugama,Dehiowita",,,,071-5137533,,ENGINEERING,CHECK,30 Net
131,DS Systems,Sri Lanka,"City office,D,R Wijewardana Mw",colombo 10,,,,,ENGINEERING,CHECK,30 Net
132,Sri Lanka Rupawahini Corporati,Sri Lanka,Colombo 07.,,,,,,ENGINEERING,CHECK,30 Net
133,BROWN & COMPANY PLC,Sri Lanka,COLOMBO 3,,,,0112663000,,ENGINEERING,CHECK,30 Net
134,J.A.M Pradeep,Sri Lanka,Gomaragoda,Payagala,,,0779013787,,ENGINEERING,CHECK,30 Net
135,Narah Computer Forms,Sri Lanka,"Industrial Complex,309/4C",Negombo Road,Welisara,,2245700,,ENGINEERING,CHECK,30 Net
136,Suranga Electricals,Sri Lanka,J/G/S/03,Sri Sangaraja Mawatha,Colombo - 10,,0114-862477,,ENGINEERING,CHECK,30 Net
137,The associated Newspapers Of,Sri Lanka,"Lake House, 35, D.R  Wijeyawar","dana mw,Colmobo10",,,01102429429,,ENGINEERING,CHECK,30 Net
138,Power House Limited,Sri Lanka,"Level 04,Deutsche House,No.320","T.B Jayah Mawatha,Colombo 10",,,0115-300700,,ENGINEERING,CHECK,30 Net
139,Cool & Cool Technologies,Sri Lanka,"No 06,Medagodawatta","Thumbovila,Piliyandala",,,,,ENGINEERING,CHECK,30 Net
141,IT LAND HOLDINGS,Sri Lanka,"No 107, Lower Floor","Unity Plaza, Colombo 04",,,,,ENGINEERING,CHECK,30 Net
142,LAUGFS International Pvt Ltd,Sri Lanka,"No,14,R.A.De Mel Mw",Colombo 04,,,0115566222,,ENGINEERING,CHECK,30 Net
143,M.P.SUPPLIERS,Sri Lanka,"NO.10, Walikettalla Gardens,",Horana,,,0342264743,,ENGINEERING,CHECK,30 Net
144,Leader Stationers,Sri Lanka,"No.10,Maliban Street,",Colombo 11,,,112331918,,ENGINEERING,CHECK,30 Net
145,Ceylon Newspapers (PVT) Ltd,Sri Lanka,"No.101,Rosmead place,Colombo 7",,,,0117566568,,ENGINEERING,CHECK,30 Net
146,Asset Radio Broadcasting (Pvt),Sri Lanka,"No.105/3,5th lane,Colombo 3",,,,0112375968,,ENGINEERING,CHECK,30 Net
147,Kathik Security and,Sri Lanka,"no.106, station road, negegoda",-,-,,4300537,,ENGINEERING,CHECK,30 Net
148,J.K.Cabs,Sri Lanka,"No.109A, Pamunuwa Road,",Maharagama,,,0115533533,,ENGINEERING,CHECK,30 Net
149,Asiri Stationery,Sri Lanka,"No.112 1/12,Bright plaza,1st floor,","Maliban street,Colombo 11",,,0112323867,,ENGINEERING,CHECK,30 Net
150,Darshana Stationerys.,Sri Lanka,"No.112,Bright plaza,1st floor,","Maliban street,colombo 11",-,,773636875,,ENGINEERING,CHECK,30 Net
151, Bennu Consultancy (Pvt) Ltd,Sri Lanka,"NO.211/2,",R.A.De Mel Mawatha,Colombo 02,,0772492313,,ENGINEERING,CHECK,30 Net
152,SELACINE TELEVISION INST,Sri Lanka,"No.224,Bauddhaloka Mawatha,Colombo 7",,,,0114320777/ 0114061586,,ENGINEERING,CHECK,30 Net
153,Y.L.R. Constructions.,Sri Lanka,"No.350,/64,heenatiyana,Minuwangoda",-,-,,777982640,,ENGINEERING,CHECK,30 Net
154,Leeds Graphics (Pvt) Ltd,Sri Lanka,"No.356E, Pannipitiya Rd,",Thalawathugoda,,,0774301616,,ENGINEERING,CHECK,30 Net
155,C.W. Mackie PLC,Sri Lanka,"No.36,","D.R.Wijewardena Mawatha,Colombo 10",,,,,ENGINEERING,CHECK,30 Net
156,Ceylon Weighing Machines Ltd,Sri Lanka,"No.40,Maligawa Rd,Etullkotte",-,,,"0112875321/4,28755344/5",,ENGINEERING,CHECK,30 Net
157,MBC Networks (Private) Limited,Sri Lanka,"No.45/3, Braybrooke Street,",Colombo 02,,,0115792700,,ENGINEERING,CHECK,30 Net
158,LP Traders,Sri Lanka,"No.530/A,",Polpitimukalana,Kandana,,,,ENGINEERING,CHECK,30 Net
159,Lahiru products,Sri Lanka,"No.536/1,Udumulla Rd,Battaramulla",,,,115018870,,ENGINEERING,CHECK,30 Net
160,Suntec Engineering,Sri Lanka,"No.54,""L",-,-,,112731713,,ENGINEERING,CHECK,30 Net
161,Lanka Paper Products (Pvt) Ltd,Sri Lanka,"No.60,Madinnagoda rd,",Rajagiriya,-,,714101088,,ENGINEERING,CHECK,30 Net
162,L.J Poly Bags,Sri Lanka,"No.66/1, Kottawa Road, Miriswa",Piliyandala.,,,0777755367,,ENGINEERING,CHECK,30 Net
163,Muthukumari Enterprises,Sri Lanka,No.B3/3,Aluthmawatha Road,"Modara, Colombo  15",,076869998,,ENGINEERING,CHECK,30 Net
164,M.J.Refaideen,Sri Lanka,"No:112/9,Vauxhall Street",Colombo 02,,,072-3261649,,ENGINEERING,CHECK,30 Net
165,Silver Electricals,Sri Lanka,"No:123,AniyakiandaRoad,","Peralanda,Ragama",,,072-0652853,,ENGINEERING,CHECK,30 Net
166,Gowri Care Cleaning Services,Sri Lanka,"No:38/1/2,Minuwangoda Road,",Gampaha,,,033-2227424,,ENGINEERING,CHECK,30 Net
167,M.B.Marketing International,Sri Lanka,"NO:44,Bankshall street,",Colombo-11,,,,,ENGINEERING,CHECK,30 Net
168,MTV Channel (Pvt) Ltd,Sri Lanka,"No:45/3,Braybrooke Street",Colombo 02,,,0114-792700,,ENGINEERING,CHECK,30 Net
169,Associated Motorways (pvt)Ltd,Sri Lanka,No:77,"New Nuge Road,","Peliyagoda,",,0112939111,,ENGINEERING,CHECK,30 Net
170,EWIS Solutions (Pvt)Ltd,Sri Lanka,P.O Box 325,Methodist Central Building,"252,Galle Rd",,0117520520,,ENGINEERING,CHECK,30 Net
171,Lanka Television Network (pvt),Sri Lanka,V FM,,,,,,ENGINEERING,CHECK,30 Net
173,Abans Finance Plc,Sri Lanka,,,,,,,ENGINEERING,CHECK,30 Net
174,V.L.J. Warnakula,Sri Lanka,,,,,728427004,,ENGINEERING,CHECK,30 Net
175,gasic polymers (pvt) ltd,Sri Lanka,,,,,,,ENGINEERING,CHECK,30 Net
176,E-W Information Systems Limite,Sri Lanka,"441/7,2nd ane,","Cotta Rd,",Rajagiriya,,,,ENGINEERING,CHECK,30 Net
177,ETA MELCO ENGINEERING (PTE),Sri Lanka,"454,Galle Rd","1st & 5th Floors,",,,0115229229,,ENGINEERING,CHECK,30 Net
178,Srilanka Broadcasting Corporat,Sri Lanka,"No.66/4,","Saranankara rd,",Dehiwala,,0112694062,,ENGINEERING,CHECK,30 Net
179,Commodties Importers,Sri Lanka,,,,,,,ENGINEERING,CHECK,30 Net
180,Independent Television Network,Sri Lanka,"No 335,","Baudhaloka mw,",Colombo 07,,,,ENGINEERING,CHECK,30 Net
181,Asia Broadcasting Corporation,Sri Lanka,"Level 37,East tower","world trade Center,","Echelon Square,",,,,ENGINEERING,CHECK,30 Net
182,Spectra Logistics (Pvt) Ltd,Sri Lanka,"Level 5 Hemas Building,","No 36,Bristol Street",Colombo 01,,0711004618,,ENGINEERING,CHECK,30 Net
183,Ovata Forms (Pvt) Limited,Sri Lanka,"91/6,Nugadeniya Road,",Talangama,,,5748240,,ENGINEERING,CHECK,30 Net
184,EAG Holdings International,Sri Lanka,"No565,Dumith Sevana,",Mampe Nort,,,0112619758,,ENGINEERING,CHECK,30 Net
185,Smart Environment Services,Sri Lanka,,,,,,,ENGINEERING,CHECK,30 Net
186,Filter Environmental Cleaning,Sri Lanka,,,,,0112953870,,ENGINEERING,CHECK,30 Net
187,Kandy Plastics (Pvt) Ltd,Sri Lanka,"Industrial Development Board, ",Pallekelen,Kundasale,,,,ENGINEERING,CHECK,30 Net
188,STATE PRINTING CORPORATION,Sri Lanka,,,,,,,ENGINEERING,CHECK,30 Net
189,Commander of Army,Sri Lanka,,,,,,,ENGINEERING,CHECK,30 Net
190,Grip Promotional Services,Sri Lanka,"212,","Mulleriyawa,","Udumulla,",,0112077007/ 0713020862,,ENGINEERING,CHECK,30 Net
191,Express Newspapers (Ceylon) (P,Sri Lanka,"No:185, Grandpass Road,",Colombo 14,,,,,ENGINEERING,CHECK,30 Net
192,DIGISCAN PRINTING AND PACKETIN,Sri Lanka,,,,,0114308731,,ENGINEERING,CHECK,30 Net
193,P&S Technologies,Sri Lanka,"9A,Church Rd",Mattakkuliya,Col 15,,,,ENGINEERING,CHECK,30 Net
194,Saravana Electricals,Sri Lanka,,,,,,,ENGINEERING,CHECK,30 Net
195,Sanasa Printers and Publishers,Sri Lanka,"No40/90, Nawala Road,","Narahenpita,",,,0114517700,,ENGINEERING,CHECK,30 Net
196,Commander Of Army on A/C 70413,Sri Lanka,,,,,,,ENGINEERING,CHECK,30 Net
197,Voice Of Asia Network (Pvt) Lt,Sri Lanka,"No.117/10, Hunuoitiya Lake Rd",Colombo 02,,,0112303000,,ENGINEERING,CHECK,30 Net
198,EAP Broadcasting Company Limit,Sri Lanka,"No.676, Galles Road,", Colombo 3,,,0115577777,,ENGINEERING,CHECK,30 Net
199,Nelu's Advertising Services,Sri Lanka,"188,High Level Road,",Nugegoda,,,2852820,,ENGINEERING,CHECK,30 Net
200,Express Environmental Services,Sri Lanka,"No:402,George R.D.Silva",,,,077-3571651,,ENGINEERING,CHECK,30 Net
201,Target Environmental Service,Sri Lanka,"No.38,",Jethawana rd,Colombo 14,,0773571651,,ENGINEERING,CHECK,30 Net
83,Orient Finance PLC,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
1,DMDK Holdings (Pvt) Ltd.,Sri Lanka,"10,1st lane,",Gothami Road,",Borela",,,,TRANSPORT,CHECK,7 Net
2,Global Trading & Co,Sri Lanka,"136E,Dam Street,",Colombo12,,,,,TRANSPORT,CHECK,7 Net
3,Amro Sugars,Sri Lanka,"187/2,5th ,Cross Stret,",Colombo 11,,,112424063,,TRANSPORT,CHECK,7 Net
4,RM Holdings,Sri Lanka,"377,Galle Road ",",Colombo 03",,,,,TRANSPORT,CHECK,7 Net
5,Wayamba Traders,Sri Lanka,"3rd floor,Dam street",Colombo12,,,0115651425,,TRANSPORT,CHECK,7 Net
6,S Mart Global,Sri Lanka,"46, 4th cross street",Colombo 11,,,0115857618,,TRANSPORT,CHECK,7 Net
7,Palligoda Trading,Sri Lanka,"57,Old moor street",",colombo12",,,,,TRANSPORT,CHECK,7 Net
8,Gnanam Imports (Pvt) Ltd,Sri Lanka,"N0.79,5th Cross Street",Colombo 11,,,,,TRANSPORT,CHECK,7 Net
9,R.G.Brothers,Sri Lanka,"No. 78,04th Cross Street,",Colombo 11,,,112382572,,TRANSPORT,CHECK,7 Net
10,Colombo Comodities,Sri Lanka,"No:71, Fourth cross street,",Colombo,,,112421430,,TRANSPORT,CHECK,7 Net
11,Woodlands Company,Sri Lanka,"No192,4th cross Sreet, ", Colombo11,,,,,TRANSPORT,CHECK,7 Net
12,Fancy Traders,Sri Lanka,"No65,Dam Street,",Colombo12,,,,,TRANSPORT,CHECK,7 Net
13,Barik Enterprises (Pvt) Ltd,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
14,New Benson Trading (Pvt) Ltd,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
15,Piyal Dias Enterprises,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
16,Wilson Trading Company,Sri Lanka,,,,,0112438950,,TRANSPORT,CHECK,7 Net
17,Lanka Agro Processing (Pvt) Lt,Sri Lanka,"570/21 ,Negambo rd",",wattala",,,,,TRANSPORT,CHECK,7 Net
18,M.Ruvini kanchana,Sri Lanka,"124/D,Tharindu ,","Beruwala,",Hakmana,,,,TRANSPORT,CHECK,7 Net
19,N.G.W.M.Chandralatha Dissanaya,Sri Lanka,"177/B,","Palliyawatta,",Kadugannawa,,077-407624,,TRANSPORT,CHECK,7 Net
20,D.M Dissanayake,Sri Lanka,210,,,,,,TRANSPORT,CHECK,7 Net
21,W.L.S. Wickramasinghe,Sri Lanka,413/2,No:34,Udunuwarara,,,,TRANSPORT,CHECK,7 Net
22,K.G.uditha Kumudu Kumara,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
23,U.M.NIHAL,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
24,H.P. Rupasinghe,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
25,K.G. Uditha Kumudu Kumara,Sri Lanka,Aludeniya,",Kandy",,,,,TRANSPORT,CHECK,7 Net
26,B.M.Sudath,Sri Lanka,Andalla,",Weligaththa",,,,,TRANSPORT,CHECK,7 Net
27,North Central Province Co-oper,Sri Lanka,Anuradapura,Keeragala,,,,,TRANSPORT,CHECK,7 Net
28,A.G.Jayasundara,Sri Lanka,"Bangala Handiya,",Kuruwita,,,,,TRANSPORT,CHECK,7 Net
29,S.S.W. Pushpakumara,Sri Lanka,"Bogahalanda,",Gangodagama,Hakmana,,,,TRANSPORT,CHECK,7 Net
30,G. Abeyrathne,Sri Lanka,E/45,"Makoora,Hettimulla",Kegalle,,,,TRANSPORT,CHECK,7 Net
31,K.W. Samarasekara,Sri Lanka,"Barawakkumbura,",Embilipitiya,,,077-3617910,,TRANSPORT,CHECK,7 Net
32,PIYASENA  HETTIARACHCHI,Sri Lanka,EMBILIPITIYA,,,,,,TRANSPORT,CHECK,7 Net
33,W.A.N.S.Wanshapura,Sri Lanka,"Gonagama,Inguruwatta",Mawathagama,,,,,TRANSPORT,CHECK,7 Net
34,K.M. Dissanayake,Sri Lanka,Kandekumbura,Galagedara,,,,,TRANSPORT,CHECK,7 Net
35,B.D.Upul Kumara Watagoda,Sri Lanka,"Katupiyiya,Kosgolla,Kurunegala",,,,0788689743,,TRANSPORT,CHECK,7 Net
36,M.Indika Ranjan Amarathunga,Sri Lanka,"Kuda Kowana,Thorayaya",,,,,,TRANSPORT,CHECK,7 Net
37,A GUNASENA,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
38,"W.N.S. Kularathne,",Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
39,S. Muthukumarana,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
40,C. Wicramarachchi,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
41,B.M.M.S. Basnayake,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
42,H.M.D. Thushara,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
43,B.M.K. Bandara,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
44,D.N. Neththasinghe,Sri Lanka,"No.21,","Sahira mw,","Dambulla rd,",,,,TRANSPORT,CHECK,7 Net
45,H.K.N.U.K. Jayawardena,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
46,A.W.A.D.J.C. Abeysekara,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
47,M.A.S.B.N.K. Mallaperuma,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
48,J.A. Rohana Jayakodi,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
49,U.M. Nihal,Sri Lanka,Tissamaharama,Weerawila,,,077-7767166,,TRANSPORT,CHECK,7 Net
50,C.M.K.M. Dissanayaka,Sri Lanka,Hungama,Ambalanthota,,,071-4147368,,TRANSPORT,CHECK,7 Net
51,H.L.D.K. Fernando,Sri Lanka,Weerawila Junction,Weerawila,,,,,TRANSPORT,CHECK,7 Net
52,E.A.C. Ruwan Kumara,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
53,G.A. Sunil Shantha,Sri Lanka,Pannegamuwa,Weerawila,,,,,TRANSPORT,CHECK,7 Net
54,H.T.K. Gayantha,Sri Lanka,"Pannegamuwa,",Weerawila,,,077-7757660,,TRANSPORT,CHECK,7 Net
55,W.G. Sugath,Sri Lanka,Sirakandauru Junction,Weerawila,,,,,TRANSPORT,CHECK,7 Net
56,Siripala Jayaweera,Sri Lanka,Debarawewa,Tissamaharama,,,,,TRANSPORT,CHECK,7 Net
57,P.M.M. Priyadarshani,Sri Lanka,"Mulana,", Hungama,,,047-2229011,,TRANSPORT,CHECK,7 Net
58,T.M.D. Thennakoon,Sri Lanka,Mahawana ,",Miyallawa",,,,,TRANSPORT,CHECK,7 Net
59,D.A.Darshani,Sri Lanka,Mahawithikuliya,Withikuliya,,,41-0873,,TRANSPORT,CHECK,7 Net
60,W.M.S.N.Weerasekara,Sri Lanka,"Mawikotuwa,Hiriyala,Lenawa",,,,077-5984006,,TRANSPORT,CHECK,7 Net
61,K.K.M.A. Sarath Kumara,Sri Lanka,"No, 20/1",Mada para,pinwala,,,,TRANSPORT,CHECK,7 Net
62,M.A.S.Safeena,Sri Lanka,"No.229/28,Kandy Road,",Kurunegala,,,0725554555,,TRANSPORT,CHECK,7 Net
63,W.M.Wasantha Kumara,Sri Lanka,"No.36, Kegalle",,,,,,TRANSPORT,CHECK,7 Net
64,K.H. Sunil,Sri Lanka,No:18,Main Street,Hakmana,,077-6054220,,TRANSPORT,CHECK,7 Net
65,T.G.Sanath Nanda Bandara,Sri Lanka,No:63,Walapane,,,,,TRANSPORT,CHECK,7 Net
66,R.P.S. Udaya kumara,Sri Lanka,No:95,Galpoththa waththa,Hindagolla,,,,TRANSPORT,CHECK,7 Net
67,W.S.Sunimal Fonseka,Sri Lanka,"No63,Srimath Edwin Wijeyarathna Mawatha,", Meepitiya,Kegalle,,,,TRANSPORT,CHECK,7 Net
68,Y.D.Ranasinghe,Sri Lanka,Pahala Minuwangate,Minuwangate,,,,,TRANSPORT,CHECK,7 Net
69,G.A.I. Chathuranga,Sri Lanka,Pannegamuwa,Tissamaharamaya,,,077-6566167,,TRANSPORT,CHECK,7 Net
70,W.V.A.R.Manoj Priyantha,Sri Lanka,ranpiyawatte,"Udawela, Opanayaka",,,,,TRANSPORT,CHECK,7 Net
71,Y.M. Wasantha Dilip Kumara,Sri Lanka,Sinha Jayagama,Nadiligamuwa,Wadumunne Gedara,,,,TRANSPORT,CHECK,7 Net
72,H.A.M.S.H.A. Perera,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
73,A.Weerathunga,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
74,B.M Sudath,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
75,K.M.C.S.KUMARA,Sri Lanka,"Kanthale lake,","Noungamugama,",,,077-5068774,,TRANSPORT,CHECK,7 Net
76,M.S.M.Safiulla,Sri Lanka,"130,Kandy Road",",Dasiy Mount",,,,,TRANSPORT,CHECK,7 Net
77,K.M.Ariyarathne,Sri Lanka,No.21,"Sahira mw,","Dambulla rd,",,,,TRANSPORT,CHECK,7 Net
78,H.M.D.C.NAVARATHNE,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
79,K.G.S.Karunanayake,Sri Lanka,"No.14,","Sri Siddhartha rd,",Kirulapona,,,,TRANSPORT,CHECK,7 Net
80,J.A.I.D.JAYAKODI,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
81,K.T.P. Kulrathne,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
82,K.M.C.S.Kumara,Sri Lanka,,,,,,,TRANSPORT,CHECK,7 Net
