SEGMENT1,VENDOR_NAME,AUTO_TAX_CALC_FLAG,COUNTRY,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,FIRST_NAME,PHONE,FAX,TERMS_NAME,PAY_GROUP_LOOKUP_CODE,PAYMENT_TYPE
2862,D.M.D.K.Holdings (Pvt) Ltd,N,Sri Lanka,"No.10,First Lane,","Gothami Road ,Colombo 08",,,112687636,,30 Net,GROCERY,
2196,H.M.J. Food Product,N,Sri Lanka,No:278/A,"Pambe , Payagala",Kaluthara,Mr.Promodith,077-6193917/034-2220978,,30 Net,GROCERY,
524,Hemas Manufacturing (Pvt) Ltd.,Y,Sri Lanka,"No:75, Breybrooke Place",Colombo 02,,Mr.Chanana,077-3457161,,30 Net,GROCERY,
224,Lanka Dairies (Pvt.) Ltd.,N,Sri Lanka,"Welisara,",Ragama.,,Mr.Sufil,077-9752385/0773139539,,30 Net,GROCERY,
2866,Lanka Foods,N,Sri Lanka,,,,Asiri Bandara Athapaththu,,,30 Net,GROCERY,
2983,Luxury Brands (Pvt) Ltd,Y,Sri Lanka,"No.254,Colombo Road",Biyagama,,Mr.Steve Wijerathna,011-2039200,,30 Net,GROCERY,
3150,M.A.M.Farm House (Pvt) Ltd,N,Sri Lanka,Puwakgahakadawala,Weerapokuna,Bingiriya,Mr.M.Y.M.Akram,077-2995985,,30 Net,GROCERY,
532,Milco (Pvt.) Ltd.,N,Sri Lanka,"No.45,Nawala Road,","Narahenpita,",Colombo 05.,Mr.Udana,071-4415615/0112368228,,30 Net,GROCERY,
292,Nestle Lanka PLC,Y,Sri Lanka,"No.110,","Darley Road,",Colombo 10,Mr.Viraj,077-3012361,,30 Net,GROCERY,
366,Reckitt Benckiser (Lanka) Ltd.,Y,Sri Lanka,"No 41,Lauries Road",Colombo 04,,Mr.Duminda,077-2343213/0112550900,,30 Net,GROCERY,
2935,Ruhunurata Plantation (Pvt) Ltd,N,Sri Lanka,,"26A,Kamil Place,Nupe,",Matara,,473482061,,30 Net,GROCERY,
3057,Sha Enterprises,N,Sri Lanka,"No. 44A, Bishop's Road,",Wattala,,,077-2443532,,30 Net,GROCERY,
904,Tharindu Farms (Pvt) Ltd,Y,Sri Lanka,"No. 94F, Dandugama, Ja-Ela.",,,,011-2243082,,30 Net,GROCERY,
711,Unilever Lipton Ceylon Limited,Y,Sri Lanka,"No:258,M Vincent Perera Mawatha,",Colombo 14,,Mr.Gayan,077-5240645,,30 Net,GROCERY,
479,Unilever Sri Lanka Ltd,Y,Sri Lanka,"P.O.BOX.283,",Colombo 14,,Mr.Gayan,077-5240645/077-7264543,,30 Net,GROCERY,
525,Hayleys Consumer Product (LTD),Y,Sri Lanka,"No.25,","Foster Lane,",Colombo 10,Mr.Supun,077-2443416/0114766200,,40 Net,GROCERY,
822,Lucky Lanka Milk Processing Co.Ltd,N,Sri Lanka,"Bibulewela, Karagoda,",Uyangoda.,,Mr.Kumara,075-3777881,,40 Net,GROCERY,
1,A.Baur and Co.Limited-MJ,Y,Sri Lanka,"No.62,","Jethawana Road,",Colombo 14,Mr.Mayura,"077-2919180,0714139292",,45 Net,GROCERY,
38,Badulu Products,N,Sri Lanka,-,-,-,,,,45 Net,GROCERY,
628,Bogawantalawa Tea Marketing (Ptv)Ltd,N,Sri Lanka,"No. 153, Nawala Road,",Colombo - 5 (Narahenpita),,Mr.Lalaka,071-8729357/0112510100,,45 Net,GROCERY,
2640,Cargills Quality Dairies(Pvt)Ltd,N,Sri Lanka,"No:40,York Stereet,",Colombo 01,,Mr.Mahinda,077-7591454,,45 Net,GROCERY,
9,CBL Foods International (Pvt)Ltd(Biscuits),Y,Sri Lanka,"No:01,Habarakada Road,",Ranala,,Mr.Sathsara,077-304939,,45 Net,GROCERY,
53,CBL Foods International (Pvt.)Ltd,N,Sri Lanka,"No:01,Habarakada Road,",Ranala,-,Mr.Sathsara,077-3043939,,45 Net,GROCERY,
2871,CBL Global Foods Limited,N,Sri Lanka,"P.O.Box,High Level Road","Makumbura,Pannipitiya",,,,,45 Net,GROCERY,
55,Ceylon Agro- Industries Ltd,Y,Sri Lanka,"No.346,","Negombo Road,",Seeduwa.,Mr.Dilruwan,077-2973210/0112253527,,45 Net,GROCERY,
56,Ceylon Biscuits Ltd,Y,Sri Lanka,"Makumbura,",Pannipitiya.,,Mr.Sathsara,077-3043939/0773403517,,45 Net,GROCERY,
2974,Champika Group of Industries,N,Sri Lanka,"Madawala,Rambukkana",,,Mr.Ashoka,076-6799125/0352265253,,45 Net,GROCERY,
710,Chrispack Company,N,Sri Lanka,,,,,,,45 Net,GROCERY,
3264,CIC Agri Produce Export (Pvt)Ltd,Y,Sri Lanka,"No:205/1/1,", D.R.Wijewardhana Mawatha, Colombo 10,Mr.Nilantha,011-2688200,,45 Net,GROCERY,
65,CIC Holdings PLC,Y,Sri Lanka,"CIC House,","No.199, Kew Road,",Colombo 01.,Mr.Duminda,077-9189090/0112359359,,45 Net,GROCERY,
72,Convenience Foods (Lanka) PLC,Y,Sri Lanka,"No:133,7 Lane,Off Borupana Road,","Kandawala,Rathmalana",-,Mr.Desmon,077-2992235,,45 Net,GROCERY,
81,Darley Butler & Company Ltd,Y,Sri Lanka,"No.98,","Sri Sangaraja Mawatha,",Colombo 10,Mr.Kamal,077-3541058/0773541055,,45 Net,GROCERY,
90,Diamond Best Food(pvt)Ltd,Y,Sri Lanka,"No.671,","Baseline Road,",Colombo 09.,Mr.Dilshan,077-7420303/0773060677,,45 Net,GROCERY,
105,DJ Products,N,Sri Lanka,"No.108, ""Janamali""","Upper River Road, Horethuduwa,",Moratuwa.,Mrs.Janaki,077-7578806/0112649034,,45 Net,GROCERY,
2797,H.H.Enterprises,N,Sri Lanka,"No.30,Samagi Mawatha,Depanama",Pannipitiya,,,071-8231357,,45 Net,GROCERY,
174,Island Coffee Co. (Pvt.) Ltd.,N,Sri Lanka,"No.158 F, Galle Road,","Bambalapitiya,",Colombo 04,Mr.Chaminda,071-3528531/0712389880,,45 Net,GROCERY,
667,Kiran Trading Company,N,Sri Lanka,"No: 39/5, Sangamiththa Mawatha",Colombo 13,,,112334020,,45 Net,GROCERY,
2639,Kotmale Dairy Products(Pvt)Ltd,N,Sri Lanka,"No:20,Sri sumuna Mw,New town",Mulleriyawa,,Mr.Mahinda,077-7591454,,45 Net,GROCERY,
211,Krisha Dryfish Distributors,N,Sri Lanka,"No.375/4/1,8th Lane,","Rathnarama Road,",Hokandara.,,714819880,,45 Net,GROCERY,
226,Lanka Spice (Pvt) Ltd,Y,Sri Lanka,"Makumbura,",Kottawa.,,Mr.Amal,077-3521398/0112844124,,45 Net,GROCERY,
531,Maliban Biscuit Manufactories(Pvt)Ltd,Y,Sri Lanka,"No:389,Galle Road,Ratmalana",Rathmalana.,,Mr.Janaka,071-4558035/0112738551,,45 Net,GROCERY,
2547,Maliban Milk Products (Pvt)Ltd,Y,Sri Lanka,"No:389,Galle Road,Rathmalana",Rathmalana.,,Mr.Mahinda,070-2558528/0112-738551,,45 Net,GROCERY,
3198,ND Incense Products (Pvt) Ltd,N,Sri Lanka,"No:95/28, Rajagiriya Road,",Rajagiriya.,,Mr.Lalaka,071-8729357,,45 Net,GROCERY,
326,Plenty Foods (Pvt.) Ltd.,Y,Sri Lanka,"No:31,Mannina Place,",Colombo 06,-,Mr.Desmon,077-2992235,,45 Net,GROCERY,
3216,Qtel traders,N,Sri Lanka,"No.31, Manning Place",Colombo 06,,A.R.M.Azhad,077-7252352,,45 Net,GROCERY,
410,Raadha trading Industries (Pvt)Ltd,Y,Sri Lanka,"No:08,Hekitta Lane,",Wattala,,Mr.Sanka,077-7807000,,45 Net,GROCERY,
367,Rehoboth Enterprise,N,Sri Lanka,-,-,-,,,,45 Net,GROCERY,
762,Richlife Dairies Limited,N,Sri Lanka,"Pirivena Road, Molligoda,",Wadduwa.,,Mr.Anton,071-1371547/0384284437,,45 Net,GROCERY,
3221,Row Gates Lanka (Pvt) Ltd,N,Sri Lanka,"No.728, Crooswatta","Ekala,Ja-Ela",,Mr.M.H.M.Ramzeen,077-3204200,,45 Net,GROCERY,
713,S.A.Dayani Vijelatha,N,Sri Lanka,,,,Mrs.Dayani,077-9913359,,45 Net,GROCERY,
846,Serendib Flour Mills (Pvt) Ltd,N,Sri Lanka,"No. 2145/52,","Old Avissawella Road,","Orugodawatta, Wellampitiya.",Mr.Maithree,077-3261248/011-7777000,,45 Net,GROCERY,
546,Shaw Wallace Ceylon Ltd,Y,Sri Lanka,NO.353,"Kollupitiya Road,",Colombo 03,Mr.Anton,071-1371547/011-2573060,,45 Net,GROCERY,
423,Smithkline Beecham (Pvt.) Ltd.,Y,Sri Lanka,World Trade Centre,"Level 34, West Tower","Echelon Square, Colombo 01.",Mr.Shane,077-7320455/077-7708815,,45 Net,GROCERY,
2737,Sri Products,N,Sri Lanka,,,"No.20,Lane No.03,",Mr.Nafileen,071-3232269/077-5101000,,45 Net,GROCERY,
3103,St.Anthonys Enterprises (Dry Fish),N,Sri Lanka,"No.47/7, Theresa Mawatha, Kala","Eliya, Ja-Ela",,,,,45 Net,GROCERY,
962,Star Holdings International(pvt)Ltd,N,Sri Lanka,"No:565,Gangarama Road,",Boralesgamuwa.,,Mr.Nushan,077-5993732,,45 Net,GROCERY,
3201,Thimini Lanka Export(Pvt) Ltd,N,Sri Lanka,"No.62/3/B,Wathurugama Road,",Miriswatta,Gampaha,,076-7028733,,45 Net,GROCERY,
2174,Uyangoda Marketing,N,Sri Lanka,"310/6, Magammana",Homagama,,Mr.Upul,077-5733206/077-2045772,,45 Net,GROCERY,
549,Watawala Tea Ceylon Limited,Y,Sri Lanka,"No.60,",Dharmapala Mawatha,Colombo 03,Mr.Niluka,070-2942805/01-4702400,,45 Net,GROCERY,
3275,All Focus (Pvt) Ltd,N,Sri Lanka,"No.36/A, 2nd Lane ,",Akbar Mosque Road,"Periyaneelavanai,Maruthamunei",Mr.P.L.S. Lebbe,077-2549574,,60 Net,GROCERY,
15,Alli Company (Pvt.) Ltd.,Y,Sri Lanka,Pasyala,,,Mr.Abdeen,077-4106048/0332285039,,60 Net,GROCERY,
2559,Ambewela Products (Pvt) Ltd,N,Sri Lanka,"Abewela farm,Ambewela",,,Mr.Neel,071-8484179,,60 Net,GROCERY,
21,Antler Industries (Pvt.) Ltd.,Y,Sri Lanka,"No.170,","Madapatha Road,",Piliyandala.,Mr.Lahiru,077-3108762/011261436,,60 Net,GROCERY,
1944,Appollo Distributors (pvt) Ltd,Y,Sri Lanka,"No:175/14A1/1,Nawala Rd",Colombo-05,,Mr.Manju,077-5291283/077-7670608,,60 Net,GROCERY,
3113,Aussee Oats Milling (Pvt) Ltd,N,Sri Lanka,"No.28, BOI EPZ",Mirigama,,Mr.Sunil Santha,076-7930895,,60 Net,GROCERY,
3261,Bata Shoe Company Of Ceylon Limited,Y,Sri Lanka,"No.100, Gen.Sri John",Kothalawala Road,Ratmalana,Mr.Sugath Priyashantha,011-2633791,,60 Net,GROCERY,
538,C.W. Mackie PLC,Y,Sri Lanka,"No.36,","D.R.Wijewardena Mawatha,",Colombo 10,Mrs.Valanteen,077-7566753/077-7566737,,60 Net,GROCERY,
3159,Atlas Axillia(Nimex Brand),N,Sri Lanka,"96, Parakrama Road",Peliyagoda,,Mr.Sujeewa,077-3950985/0112912879,,60 Net,GROCERY,
3160,Atlas Axillia(Stationary),N,Sri Lanka,"96, Parakrama Road",Peliyagoda,,Mr.Sujeewa,077-3950985,,60 Net,GROCERY,
91,Diamond Match Co.(PVT) LTD,Y,Sri Lanka,"No.701,","Colombo Road,",Kadugannawa.,Mr.Rahman,777801341,,60 Net,GROCERY,
640,Dushanthi Products,N,Sri Lanka,,,,Mr.Prabath,071-9692168 ,,60 Net,GROCERY,
837,E I & M (Pvt) Ltd,Y,Sri Lanka,"No:257, Grandpass Road,",Colombo 14,,,112472669,,60 Net,GROCERY,
111,East West Marketing (Pvt) Ltd.,Y,Sri Lanka,"No.297/2,","George R De Silva Mawatha,",Colombo 13.,Mr.Dhammika,077-3346424/0773082964,,60 Net,GROCERY,
619,"Ferrero Lanka (Pvt) Ltd.,",Y,Sri Lanka,"No:6, Temple Lane,",Colombo 3.,,Mr.Ravindra,077-7699981/112596612,,60 Net,GROCERY,
7,George Steuart Teas (PVT) LTD,N,Sri Lanka,"No:2,Wekanda Road,",Colombo 02,,Mr.Anushas,077-8211169,,60 Net,GROCERY,
958,Golden Bake(Pvt)Ltd,N,Sri Lanka,"No:72 A,Kandawala Road,",Rathmalana,,Mr.Prasanna,071-3867303,,60 Net,GROCERY,
146,Harsha Product,N,Sri Lanka,No:325/C,Mahawatta Road,"Hibutana, Mulleriyawa New Town",Mr.Wimal,071-4043637/0115013162,,60 Net,GROCERY,
891,Hayleys Consumer Products LTD(SCJ),Y,Sri Lanka,"No. 400, Deans Road,",Colombo - 10.,,Mr.Asith,077-3902703/0112688960,,60 Net,GROCERY,
873,Hayleys Electronics Lighting (PVT)Limited,Y,Sri Lanka,"No. 400, Deans Road,",Colombo - 10.,,Mr.Asith,077-3902703/0117766200,,60 Net,GROCERY,
153,Hettigoda Industries (Pvt.) Lt,N,Sri Lanka,"No.33/3,","Sri Dharmarama Road,",Rathmalana.,Mr.Maheen,077-2440464/0112736001,,60 Net,GROCERY,
527, Hiran Products(A.A.M.P. Darshanie),N,Sri Lanka,"No. 274/4A, Millagawatta,",kiriwaththuduwa.,,Miss.Darshani,777146306,,60 Net,GROCERY,
165,International Cosmetics(Pvt)Ltd,Y,Sri Lanka,"No.330,","T.B.Jayah Mawatha,",Colombo 10,Mr.Lasantha,077-2070439/0112696871,,60 Net,GROCERY,
699,Janatha Estates Development Board,N,Sri Lanka,"No:55/75,Vauxhall  Lane,",Colombo 02,,Mr.Anura,071-4408296,,60 Net,GROCERY,
1286,Karunaratne Enterprises,N,Sri Lanka,"No:77/3,",Magammana,Homagama,Mr.Karunarathna,071-8284030,,60 Net,GROCERY,
202,Keells Food Products PLC,N,Sri Lanka,"No.16, Minuwangoda Road,","Ekala,",Ja-Ela.,,,,60 Net,GROCERY,
221,Lalitha Products,N,Sri Lanka,"Mahawilawatta,",Rathnapura.,,Mr.Suranga,077-1139195/0112224134,,60 Net,GROCERY,
227,Lapreco (LPC) Lanka Detergents,N,Sri Lanka,"No:853/2/2,Rukmale Road,L144",Pannipitiya,-,Mr.Gamage,071-4251190,,60 Net,GROCERY,
569,Link Natural Products (Pvt)Ltd,N,Sri Lanka,"CIC House, No. 199, Kew Road,",Colombo - 02.,,Mr.kasun,071-0373526,,60 Net,GROCERY,
638,Little Lion Associated (PVT)Ltd,N,Sri Lanka,"No:11,A.G.Hinniappuhami Mawatha",Colombo 13,,Mr.Anil,077-1999207,,60 Net,GROCERY,
541,M.D.Chamara Ravindra Mahawatha,N,Sri Lanka,"Kahatapitiya,","Kananwila,",Horana.,Mr.Srimal,77-1906180/034-2254251,,60 Net,GROCERY,
636,M.J.F. Exports Ltd,N,Sri Lanka,"1630,Colombo ,Sri Lanka",,,Mr.Ravindra,077-7736195/0114-822000,,60 Net,GROCERY,
3271,Manchiee De Coco Products,N,Sri Lanka,Amaragiri Estate,Loluwagoda,,Mr.Dinushka,077-3583218,,60 Net,GROCERY,
587,Marina Foods (Pvt) Ltd,Y,Sri Lanka,"No.627,","Dr.Danister De Silva Mawatha,",Colombo 09,Mr.Dinuka,077-3583218/012-673338,,60 Net,GROCERY,
2763,New Vinodya Nishpadana,N,Sri Lanka,"No.162/B,Temple Road,",Yogiyana,,Mr.Vinodya,077-1916323,,60 Net,GROCERY,
708,Nuwara The Co. (Pvt) Ltd.,N,Sri Lanka,,,,,,,60 Net,GROCERY,
438,Orient Finance PLC,N,Sri Lanka,"No.47/7, Theresa Mawatha,","Kelaniya,",Ja-Ela.,Mr.Hasitha,077-5879232,,60 Net,GROCERY,
764,Padmini Products,N,Sri Lanka,"Medhadhuwa, Kuligoda,",Ambalangoda.,,Mr.Kosala,071-3468830,,60 Net,GROCERY,
620,Perfetti Van Melle Lanka(pvt)Ltd,N,Sri Lanka,"No:785/1,Liyanagemulla",Seeduwa,,Mr.Randunu,077-3959849,,60 Net,GROCERY,
350,Pyramid Wilmar (Pvt.) Ltd.,Y,Sri Lanka,"No.04-02/1,","Lauries Place,",Colombo 4,Mr.Fazal,077-3441331/0114542910,,60 Net,GROCERY,
952,Rayin  Agroma (Pvt) Ltd,N,Sri Lanka,Hinadagolla,Kurunegala,,Mr.Harsha,076-8243752,,60 Net,GROCERY,
365,Real Tasty Manufacturers,N,Sri Lanka,"No.243/22A, Aruggoda,","Alubomulla,",Panadura.,Mr.Priyantha,077-6658072/0382299946,,60 Net,GROCERY,
2327,S.L.Enterprises,N,Sri Lanka," 192, Daham Mawatha, 2nd Lane,",Pannipitiya,,,,,60 Net,GROCERY,
866,S.S Products(Surendra Supplier),Y,Sri Lanka,"No. 60/36,","Sri Gunananda Mawatha,",Colombo - 13 (Kotahena),Mr.Surendra,077-3725684,,60 Net,GROCERY,
2943,Sandul Products,N,Sri Lanka,"No.77/5,Ambagawatta","Thiriwanegama,Kalagedihena",,Mr.Deshan,076-3113548/070-3021014,,60 Net,GROCERY,
2115,Sara Trading Company,N,Sri Lanka,"No.33/C/1, Mahabuthgamuwa Road","Mahabuthgamuwa, Angoda.",,,777510114,,60 Net,GROCERY,
883,Seri Naturals (Pvt) Ltd,N,Sri Lanka,"No. 342, Galle Road, Moratuwa.",,,,115662626,,60 Net,GROCERY,
411,Sha Lanka Trading,Y,Sri Lanka,"No.LG 180/52,","Peoples Park Shopping complex,",Colombo 11.,Mr.Sameera,077-0585525,,60 Net,GROCERY,
697,Sprinco (Pvt) Ltd,N,Sri Lanka,"No:154/1, Tampelars Road,",Mount Lavinia,Sri Lanka,Mr.Janaka,077-7379315/011-2737350,,60 Net,GROCERY,
431,Sri Lanka Coconut Producers Co-operative Society,Y,Sri Lanka,-,,-,Mr.Nimal,071-8977448,,60 Net,GROCERY,
593,Sun Match Company Ltd.,Y,Sri Lanka,NO.40-3/1,"Church Street,",Colombo 03,Mr.Bandara,077-7813989/011-2327226,,60 Net,GROCERY,
3117,Sunflower Restaurant & Food Products (pvt)Ltd,N,Sri Lanka,"No.190, Galaluwa, Menikninna,"," Menikninna,",Kandy,Mr.M.A.Asitha,077-3468162,,60 Net,GROCERY,
3237,Super colloids Lanka (Pvt) Ltd,Y,Sri Lanka,"No.14, Jayawardhana Mawatha",Dehiwala,,Mr.Yuganath,011-4321132,,60 Net,GROCERY,
462,Swadeshi Chemicals (Pvt.) Ltd.,Y,Sri Lanka,"No.57,","Colombo Road,",Kandana.,Mr.Dilhan,077-3883014/077-3896389,,60 Net,GROCERY,
864,Sweety Products,N,Sri Lanka,"No. 35/40, Lady Mc. Drive,","Hawaeliya, Nuwara Eliya.",,,072-9528761,,60 Net,GROCERY,
907,Uswatte Confectionery Works(pvt)Ltd,N,Sri Lanka,"No. 62/1, Gorakapitiya,",Piliyandala.,,Mr.Danushka,077-2916055/011-5566600,,60 Net,GROCERY,
2653,Water COR Mineral Water Exports (pvt)Ltd,N,Sri Lanka,"386/B,01st lane,Joy Garden,Bad","ulla rd,Hali ela",,Mr.Mahinda,077-3250404/055-2294343,,60 Net,GROCERY,
727,Wijaya Products (Pvt) Ltd,Y,Sri Lanka,Dodangoda,Kalutara,,Mr.Nalaka,077-7186286/034-2280092,,60 Net,GROCERY,
2052,Upali Food & Beverages (Pvt)Ltd,N,Sri Lanka,"No:223, Bloemendhal Road, ",Colombo 13,,Mr.Sagara,071-1095023/071-2562956,,70 Net,GROCERY,
2932,Ceylon Natural Pearl (Pvt) Ltd,Y,Sri Lanka,"No:7,"," Avissawella Road,",Kaduwela,,117598307,,75 Net,GROCERY,
86,Delmege Forsyth & Co Ltd(consumer products),Y,Sri Lanka,"No:101,Vinayalankara Mw",PO Box 45,Colombo 10,Mr.Gayan,077-2900165/0714817822,,75 Net,GROCERY,
14,Delmege Forsyth & Co. Ltd(Health care),N,Sri Lanka,"101,Vinayalankara Mw",PO Box 45,Colombo 10,Mr.Shanitha,077-7260416/011-7729330,,75 Net,GROCERY,
3161,Laugfs International (Pvt) Ltd,Y,Sri Lanka,"No.224/3, Elvitigala Mawatha",Colombo 08,,Mr.Wasantha,011-5772222/4,,75 Net,GROCERY,
533,Nature's Beauty Creations Ltd,Y,Sri Lanka,"No.64/3,Kindelpitiya,","Puswelhena, Mileewa,",Horana.,Mr.Uditha,077-2003894/0342261100,,75 Net,GROCERY,
3112,Sethsuwa Ayurveda Hospital (Pvt)Ltd,N,Sri Lanka,"No:258/19,", Vihara Mawatha,"Baralada Road, Makola South",Dr.P.V.S.P.K.Vthanage,077-5109862,,75 Net,GROCERY,
2117,Softlogic Retail (Pvt) Ltd,Y,Sri Lanka,"Softlogic Building, Level  5,","14, De Fonseka Place, Colombo",,Mr.Sisira,077-6468277/077-1014728,,75 Net,GROCERY,
934,Akra Bakers (Pvt) Ltd,Y,Sri Lanka,"No:315/2,Minnuwangoda Road",Asgiriya,Gampaha,Mr.Ajith,"077-1621133,0335623750",,90 Net,GROCERY,
950,Alankulama Green Ventures (Pvt)Ltd,N,Sri Lanka,,,,,025-2220303,,90 Net,GROCERY,
1754,Alerics dairy products Ltd.,N,Sri Lanka,No- 12B,"Gregory Road,",Colombo 07,Mr.Sarath,033-2257472,,90 Net,GROCERY,
14,All Ceylon Exercise Book Manufactors Co-Operative,N,Sri Lanka,,-,-,,077-6417966/011-2334701,,90 Net,GROCERY,
2375,Amco Trading (Private) Limited,N,Sri Lanka,"No,64/3 B,Pirivena Rd",Rathmalana,,,1102738689,,90 Net,GROCERY,
25,Ardroys Manufactory,N,Sri Lanka,"No. 73, Kohuwila Road,",Kelaniya.,,Mr.Jayawardana,075-5895923,,90 Net,GROCERY,
643,Asia Pacific Brewery (Lanka)Ltd.,Y,Sri Lanka,"No. 548/B, Nawala Road,",Rajagiriya.,,,011-2866576,,90 Net,GROCERY,
836,B. C. C. Lanka Limited,Y,Sri Lanka,"Hultsdorf Mills,","Meeraniya Street,",Colombo-12,Mr.Sameera,071-2104026,,90 Net,GROCERY,
953,Bairaha Farms PLC,Y,Sri Lanka,,,,Mr.Chandralal,077-6628250,,90 Net,GROCERY,
3255,Bidwells Pharma (Pvt) Ltd,Y,Sri Lanka,"No.708, Maradana Road",Colombo,,Mr.Dilshad,077-3833454,,90 Net,GROCERY,
46,Blue Line Capri,N,Sri Lanka,"No.535/20,Colombo Road,","kurana,",Negombo.,,031-2233220,,90 Net,GROCERY,
2121,Cargills Agrifoods Ltd.,Y,Sri Lanka,"No:40,York Stereet,",Colombo 01,,Mr.Upul,077-3580268,,90 Net,GROCERY,
2122,Cargills Quality Foods Ltd.,Y,Sri Lanka,"No:40,York Stereet,",Colombo 01,,Mr.Upul,077-3580268,,90 Net,GROCERY,
910,Cerestar (Pvt) Ltd,N,Sri Lanka,"No. 7, Walgama Road,","Gammanpila, Bandaragama.",,Mr.Rajeew,077-7737124/382293106,,90 Net,GROCERY,
663,Ceylon Fisheries Corporation,N,Sri Lanka,Rock House Lane,Colombo 15.,,,112523689,,90 Net,GROCERY,
58,Ceylon Grain Elevators Ltd,N,Sri Lanka,"No. 15, Rock House Lane,",Colombo - 15.,,,,,90 Net,GROCERY,
676,Cherish Biscuits (Pvt) Ltd,Y,Sri Lanka,"Industrial Site,",Anuradhapura,,Mr.Prasanna,077-1088889/0252222508,,90 Net,GROCERY,
1807,CIC Dairies( Private )Limited,N,Sri Lanka,"205,1/1 D.R. Wijewardena Mawat",Colombo - 10,,Mr.Mahinda,076-3554370,,90 Net,GROCERY,
679,Citihealth Imports (Pvt) Ltd.,N,Sri Lanka,"No. 100, Nawam Mawatha,",Colombo - 2.,,,,,90 Net,GROCERY,
