SEGMENT1,VENDOR_NAME,AUTO_TAX_CALC_FLAG,COUNTRY,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,FIRST_NAME,PHONE,FAX,PAY_GROUP_LOOKUP_CODE,PAYMENT_TYPE,TERMS_NAME
03319,Global Pulses (Private)Ltd,N,Sri Lanka,"UG37,Plople's Park Complex","Gas Works st,Co 11",,,0112433936,,PROVISION,,14 Net
00815,Global Trading & Co,N,Sri Lanka,"No. 136/F, Dam Street,",Clombo - 12.,,,112431802,,PROVISION,,14 Net
00629,Gnanam Imports (PVT) Ltd,N,Sri Lanka,"No:79,5th cross street,",Colombo 11,,,0112-449255/0112-439334,,PROVISION,,14 Net
00701,Iresha Rice Mill - Tissamahara,N,Sri Lanka,Pannegamuwa,Weerawila,,G.A.Sunil Shantha,077 6566167,,PROVISION,,14 Net
02854,K.M.J.Trading,N,Sri Lanka,No:27A.Bellanwila,"Temple Road,Dewalapitiya",Boralasgamuwa,,0718407559,,PROVISION,,14 Net
00216,K.W.Piyasiri,N,Sri Lanka,"No:197/d,Yakahatuwa",Minuwangoda,,,,,PROVISION,,14 Net
02023,Kaleefa Rice Mill,N,Sri Lanka,"C.P Pura,",Minneriya,,,0777009766,,PROVISION,,14 Net
03315,Kapuwatte Rice Mill,N,Sri Lanka,"42 Mile post, Moragallawa",Dambulla,,,077 3656606,,PROVISION,,14 Net
02982,Lakbim Enterprises,N,Sri Lanka,,,,Kalpani Niranjala Abeysena,0776457744,,PROVISION,,14 Net
00218,Lakbima Rice Mills (Pvt.) Ltd.,N,Sri Lanka,"No. 796,","Hathamuna Road, Ethumalapitiya",Polonnaruwa.,,272223745,,PROVISION,,14 Net
03078,Lakdeera Traders,N,Sri Lanka,"No. 20/8, PM Fernando 3rd Lane",Moratuwa,,,,,PROVISION,,14 Net
00964,Lanka Agro Processing (pvt)Ltd,N,Sri Lanka,No. 570/21,"Negombo Rd,","Mabola,Wattala",,0112930650,,PROVISION,,14 Net
03180,Lankesh Trading Company (Pvt)Ltd,N,Sri Lanka,"No:94,", Meda Welihada Road,Rajagiriya,,0714282314,,PROVISION,,14 Net
02490,Lucky Laklunu,N,Sri Lanka,"Tissa Rd,Hambantota",Sri Lanka,,,0472222548,,PROVISION,,14 Net
00261,M.D.Rice Mills,N,Sri Lanka,"Mulana, Hungama",-,-,C.M.K.M Disanayake,071 4147368,,PROVISION,,14 Net
03196,M.F.M.Traders,N,Sri Lanka,"No:71-72,","Peopes park shopping complex,",Fas works street,,07777557,,PROVISION,,14 Net
03163,M.J.Traders,N,Sri Lanka,"NO.25/2, Mosque lane",Nabadagahawatta,Galewela,,0773792118,,PROVISION,,14 Net
00780,Melrose Brand Foods,N,Sri Lanka,"No. 454, Mawaramandiya,",Siyambalape.,,,777876234,,PROVISION,,14 Net
03096,Midcity Marketing (Pvt) Ltd,N,Sri Lanka,"No: 41 1/2, 3rd Cross Street",Colombo 11,,,0777884285,,PROVISION,,14 Net
02024,Mihiri Rice Mill,N,Sri Lanka,C.P. Pura,Katukeliyawa Rd,Minneriya,,0777844552,,PROVISION,,14 Net
00285,N.Arumugam,N,Sri Lanka,-,-,-,,,,PROVISION,,14 Net
00289,N.B. Foods (Pvt.) Ltd.,N,Sri Lanka,"No. 150,","4th Cross Street,",Colombo-11.,,112434920,,PROVISION,,14 Net
02795,Nadee Rice Mill,N,Sri Lanka,"No:95/1,Wijerama Rd,","Udumulla Road,",Nugegoda.,Grace Somanader,0727260100,,PROVISION,,14 Net
03170,Nadeek Traders,N,Sri Lanka,No: 556/C,Horagolla,Marawila,,077449799,,PROVISION,,14 Net
00692,Nanthine & Company,N,Sri Lanka,"No:94 2/2,","Saunders Place,","Gunasinghepura,Colombo 13",,,,PROVISION,,14 Net
03158,Navoda Rice Mill,N,Sri Lanka,"No.495/5, Temple road","Muslim Colany,Kaduruwela",Polonnaruwa,,0777773303,,PROVISION,,14 Net
02682,Navoda Trading Co.,N,Sri Lanka,"5/1,Wijerama Rd,","Udumulla Road,",Nugegoda.,Grace Somanader,0777373350,,PROVISION,,14 Net
02681,Nawara Rice Mill,N,Sri Lanka,"Nawara Rice Mill,",Kiribbawa,Khatagasdigiliya,S.M.H. Mohomed,025 2247490,,PROVISION,,14 Net
01989,New Asmath Rice Mill,N,Sri Lanka,"School Road,","Gallella,",Polonnaruwa,,027-2226786/0773240392,,PROVISION,,14 Net
00733,New Benson Trading (Pvt.) Ltd.,N,Sri Lanka,"No:184,","Bankshal Street,",Colombo - 11.,,,,PROVISION,,14 Net
02775,New Rathna Rice Mill,N,Sri Lanka,"No,54,Abayapura,Pulasthigama,",Polonnaruwa,,,0711111193,,PROVISION,,14 Net
00625,Nipuna Rice Products (Pvt) Ltd,N,Sri Lanka,"C.P Pura,",Minneriya,,,0277390731/0112-72246092,,PROVISION,,14 Net
00871,Palligoda Trading Company (PVT)Ltd,N,Sri Lanka,"57, Old Moor Street",Colombo 1,,,112432994,,PROVISION,,14 Net
00848,Piyal Dias Enterprises,N,Sri Lanka,"11, Princes Gare,",Colombo 12.,,,777351605,,PROVISION,,14 Net
03055,Pramitha Enterprises,N,Sri Lanka,"No.197/D , Yakahatuwa ,","Helakadana, Horampella",,,077 2749368,,PROVISION,,14 Net
00347,Pulses Splitting and Processing Industry,N,Sri Lanka,"No:106,","Reclamation Road,",Colombo - 11.,,011 2341911,,PROVISION,,14 Net
02989,Pyramid Wilmar (Pvt) Ltd,N,Sri Lanka,"No04-2/1,Lauries Place,", Colombo 04,,,077344133,,PROVISION,,14 Net
00936,R. G Brothers,N,Sri Lanka,No. 78,"04th Cross Stree,",Colombo - 11.,,112382572,,PROVISION,,14 Net
00955,R.S. Imports (pvt) Ltd,N,Sri Lanka,"No: E/36/1,","Economic Center,",Dambulla,,06602284223,,PROVISION,,14 Net
00535,Ramya Enterprises,N,Sri Lanka,"Yakahatuwa,Horampella",Minuwangoda,,,077-6996968,,PROVISION,,14 Net
02964,Ranjitha Pulses Splitting Processing Industry,N,Sri Lanka,"No:98,", Shri Pannananda Mw,Colombo 15,V.Maheshvaran,0112431802,,PROVISION,,14 Net
02443,RM Holdings,N,Sri Lanka,"No:377,Galle Rd,",Colombo 03,,S.D.S.Hameed,076 7472903,,PROVISION,,14 Net
00380,RRR &Co,N,Sri Lanka,"F-68,People's Park Complex, ","Bhodiraja Mawatha,",Colombo 11,J.Devapiran,077 7324811,,PROVISION,,14 Net
00382,RTS Foods,N,Sri Lanka,-,-,-,,0112-380467,,PROVISION,,14 Net
00386,Rupika Traders,N,Sri Lanka,"No:100,4th Cross St,",Colombo-11,-,N.Arumugam,077 3166936/011-2341844,,PROVISION,,14 Net
02967,S.V.J.Traders,N,Sri Lanka,,"No.176,4/1,St.James Street",Colombo 15,,0773619498,,PROVISION,,14 Net
00742,Samarasekara Rice Mills,N,Sri Lanka,Barawa Kubuka,,,,472223915,,PROVISION,,14 Net
02680,Sandaru Traders,N,Sri Lanka,"197/D,Yakahatuwa,","Horampalla,",Miniwangoda,,0724715473/0763456305,,PROVISION,,14 Net
00833,Sayura Rice & Rice Flour Processing (pvt)Ltd,N,Sri Lanka,"17 1/2, Mile Post,","C.P. Pura,",Minneriya.,,274906058,,PROVISION,,14 Net
00412,Shalom Enterprises,N,Sri Lanka,"No:104,Eli House Road",Colombo  15,-,,011-2336041/011-3134706,,PROVISION,,14 Net
02981,S-Mart Global,N,Sri Lanka,"No:46,4th Cross  Street,",Colombo 11,,,0115857618,,PROVISION,,14 Net
03089,Somasiri Rice Mill,N,Sri Lanka,"Pambadeniya, Alawwa",,,,,,PROVISION,,14 Net
00427,Sooriya Traders,N,Sri Lanka,"No:191,5th cross street,",Colombo-11,-,,,,PROVISION,,14 Net
02344,Sun Importers,N,Sri Lanka, No:136/F,dam street,Colombo 12,,011-2431802,,PROVISION,,14 Net
00447,Sunil Traders,N,Sri Lanka,"No:180/53,","Peoples park shopping Complex,",Colombo 11,,011-2472105,,PROVISION,,14 Net
03011,U and K Imports,N,Sri Lanka,No 126/G/3,Gunasinghapura,Colombo 12,,0777171670,,PROVISION,,14 Net
00746,W.M.A.Fernando,N,Sri Lanka,W. A. Fernando House,"No. 100, Highlevel Road,","Kirulapana, Colombo 06.",,,,PROVISION,,14 Net
02447,Wayamba Traders,N,Sri Lanka,"No:86,Peer Saibo Street",Colombo 12,,,0115234158,,PROVISION,,14 Net
00941,Wilson Trading Company,N,Sri Lanka,"No:104/7,Dam Street",Colombo 12,,,011-2438950/011-2343110,,PROVISION,,14 Net
00683,Woodlands Company,N,Sri Lanka,"No:192,Fourth Street,",Colombo 11,,,0112-422426/0112-327451,,PROVISION,,14 Net
03095,Yatiyana Group,N,Sri Lanka,"No: 345/1,","Ratnapura Road,Pallegama",Embilipitiya,,,,PROVISION,,14 Net
00752,Yatiyana Rice Mill,N,Sri Lanka,"Rathnapura Road, Kolambageara.",,,,047 2233264,,PROVISION,,14 Net
00632,Amro Sugar,N,Sri Lanka,"No. 187/2,","5th cross street,",Colombo-11.,,112424063,,PROVISION,,15 Net
02491,Galaxy Foods,N,Sri Lanka,"135,5th Cross Street,Colombo 1",,,,0112325232,,PROVISION,,30 Net
02045,Isuru Salt,N,Sri Lanka,"Siribo Pura, Hambantota",,,,0777 911958,,PROVISION,,30 Net
00348,Puttalam Salt Ltd,N,Sri Lanka,"Palavi Saltern, Kalpitiya Road","Palavi,",Puttalam.,,322269232,,PROVISION,,30 Net
00859,Raigam Wayamba Salterns PLC,Y,Sri Lanka,"No. 277, Koswatta,",Kiriwattuduwa.,,,114886777,,PROVISION,,30 Net
03228,Chilaw Plantations Limited,N,Sri Lanka,"Head office, No165,",Puttalam Road,Chilaw,Mr.Bandujeewa,032-5679800/0322222162,,PROVISION,,7 Net
03230,Elkaduwa Plantations Limited,N,Sri Lanka,Janawathu Piyasa,"No.320, T.B.Jayah Mawatha",Colombo 10,Mr.Lalitha,011-2698057,,PROVISION,,7 Net
03239,Kurunegala Plantation Limited,N,Sri Lanka,"P.O.Box; 25, No.80","Dambulla Road, Kurunegala",,Mr.Piyasoma Upali,071-6884085,,PROVISION,,7 Net
